county_fips,county_name,state_name,allindustries_2012,allindustries_2013,allindustries_2014,allindustries_2015,pop_2012,pop_2013,pop_2014,pop_2015,metro,specialize
'05017',Chicot,AR,255790,275270,268917,252684,11473,11344,11196,10985,Non-Metro,Farming
'05021',Clay,AR,295622,324551,321563,300495,15568,15312,15143,15067,Non-Metro,Farming
'05077',Lee,AR,174313,204247,203584,191056,10162,9991,9798,9645,Non-Metro,Farming
'05101',Newton,AR,73313,81016,83821,78814,8087,8078,7914,7923,Non-Metro,Farming
'05117',Prairie,AR,140058,158134,159138,146862,8460,8364,8314,8280,Non-Metro,Farming
'06011',Colusa,CA,1133356,1196802,1253301,1418490,21323,21322,21256,21318,Non-Metro,Farming
'06021',Glenn,CA,806251,900458,965358,995172,27938,27915,27982,27961,Non-Metro,Farming
'08009',Baca,CO,117957,112453,109984,111609,3762,3682,3630,3599,Non-Metro,Farming
'08011',Bent,CO,103899,102646,103610,106929,5811,5738,5780,5892,Non-Metro,Farming
'08017',Cheyenne,CO,87492,89302,93554,88234,1873,1881,1841,1816,Non-Metro,Farming
'08021',Conejos,CO,110362,114055,117740,119764,8279,8257,8276,8125,Non-Metro,Farming
'08023',Costilla,CO,88493,86056,88141,84353,3603,3521,3540,3563,Non-Metro,Farming
'08033',Dolores,CO,36521,41778,70476,72048,1998,2030,1975,1981,Non-Metro,Farming
'08039',Elbert,CO,323042,331107,332500,351044,23400,23670,24128,24698,Metro,Farming
'08057',Jackson,CO,53347,45940,46062,45096,1347,1355,1395,1352,Non-Metro,Farming
'08061',Kiowa,CO,70129,73320,68900,68812,1438,1417,1409,1414,Non-Metro,Farming
'08063',Kit Carson,CO,399830,366582,414002,407611,8107,8279,8054,8234,Non-Metro,Farming
'08095',Phillips,CO,189199,182495,185766,196781,4382,4357,4380,4326,Non-Metro,Farming
'08109',Saguache,CO,135088,141810,147921,157810,6305,6209,6161,6209,Non-Metro,Farming
'08115',Sedgwick,CO,78181,78774,79092,80548,2372,2342,2330,2385,Non-Metro,Farming
'08121',Washington,CO,145960,155032,162115,167962,4737,4781,4784,4860,Non-Metro,Farming
'08125',Yuma,CO,572414,594564,635957,638013,10117,10205,10232,10095,Non-Metro,Farming
'12051',Hendry,FL,1172778,1168329,1172616,1241872,37777,37630,38294,38890,Non-Metro,Farming
'13007',Baker,GA,97237,84584,74957,68383,3365,3319,3258,3160,Metro,Farming
'13027',Brooks,GA,226121,224291,223071,224371,15648,15664,15534,15692,Metro,Farming
'13037',Calhoun,GA,113194,98447,92420,93093,6489,6513,6423,6465,Non-Metro,Farming
'13155',Irwin,GA,185240,189547,177261,196613,9642,9399,9133,9227,Non-Metro,Farming
'13201',Miller,GA,143059,153529,160297,166534,5971,5885,5925,5846,Non-Metro,Farming
'13221',Oglethorpe,GA,175445,185721,181750,193334,14620,14533,14714,14925,Metro,Farming
'13253',Seminole,GA,208457,213269,214718,218816,8908,8871,8628,8606,Non-Metro,Farming
'13315',Wilcox,GA,137968,126995,120630,124623,8977,8970,8850,8864,Non-Metro,Farming
